"","AKFIN_SURVEY_YEAR","MAT_SEX","mean_lat","mean_lon","sum_CPUE","chk_lat","chk_lon","mean_weighted_lat","mean_weighted_lon","shrt"
"49",1991,"Immature Female",56.9432096296296,-163.866666592593,11796.4490453445,57.3207841276706,-160.788448489364,57.3207841276706,-160.788448489364,"'91"
"50",1991,"Immature Male",56.9432096296296,-163.866666592593,24108.8220371076,57.2637256184066,-161.260743270633,57.2637256184066,-161.260743270633,"'91"
"51",1991,"Legal Male",56.9432096296296,-163.866666592593,45753.9173908361,56.7529595306821,-163.674551696383,56.7529595306821,-163.674551696383,"'91"
"52",1991,"Mature Female",56.9432096296296,-163.866666592593,36889.1284936297,56.6865908493451,-161.774475621706,56.6865908493451,-161.774475621706,"'91"
"53",1992,"Immature Female",56.9353231343284,-163.889179029851,5597.62290264264,57.2534890730447,-161.28539451811,57.2534890730447,-161.28539451811,"'92"
"54",1992,"Immature Male",56.9353231343284,-163.889179029851,20438.6274167799,57.1748810979941,-161.309590624591,57.1748810979941,-161.309590624591,"'92"
"55",1992,"Legal Male",56.9353231343284,-163.889179029851,11422.1569817049,57.0094045245292,-162.34788253283,57.0094045245292,-162.34788253283,"'92"
"56",1992,"Mature Female",56.9353231343284,-163.889179029851,25076.6942095365,56.9841453599213,-161.413293822437,56.9841453599213,-161.413293822437,"'92"
"57",1993,"Immature Female",56.9289213235294,-163.871936176471,7081.34680842173,56.9640868032581,-160.85579603759,56.9640868032581,-160.85579603759,"'93"
"58",1993,"Immature Male",56.9289213235294,-163.871936176471,20337.0195556848,56.8710054821218,-161.447186896006,56.8710054821218,-161.447186896006,"'93"
"59",1993,"Legal Male",56.9289213235294,-163.871936176471,17398.6497011135,56.816833862755,-162.247994640485,56.816833862755,-162.247994640485,"'93"
"60",1993,"Mature Female",56.9289213235294,-163.871936176471,34909.4651373687,56.9337387298618,-161.384933778676,56.9337387298618,-161.384933778676,"'93"
"61",1994,"Immature Female",56.9289213235294,-163.871936176471,9437.88882271,57.810965448993,-160.025169603915,57.810965448993,-160.025169603915,"'94"
"62",1994,"Immature Male",56.9289213235294,-163.871936176471,17603.4908443198,57.5657827534936,-160.57731454924,57.5657827534936,-160.57731454924,"'94"
"63",1994,"Legal Male",56.9289213235294,-163.871936176471,11943.2027117228,57.1359361468579,-161.983186087932,57.1359361468579,-161.983186087932,"'94"
"64",1994,"Mature Female",56.9289213235294,-163.871936176471,15248.7171571185,57.1599757376238,-161.40874170797,57.1599757376238,-161.40874170797,"'94"
"65",1995,"Immature Female",56.9289213235294,-163.871936176471,15242.3424034663,57.5151704233453,-160.907295985695,57.5151704233453,-160.907295985695,"'95"
"66",1995,"Immature Male",56.9289213235294,-163.871936176471,27384.7546383754,57.40085531546,-161.355401391941,57.40085531546,-161.355401391941,"'95"
"67",1995,"Legal Male",56.9289213235294,-163.871936176471,14728.4310285892,56.9607795394384,-162.233233931148,56.9607795394384,-162.233233931148,"'95"
"68",1995,"Mature Female",56.9289213235294,-163.871936176471,15637.5752814721,56.9397671803816,-161.369819578842,56.9397671803816,-161.369819578842,"'95"
"69",1996,"Immature Female",56.9289213235294,-163.871936176471,35735.0152513178,57.1407615568702,-161.471962982514,57.1407615568702,-161.471962982514,"'96"
"70",1996,"Immature Male",56.9289213235294,-163.871936176471,43638.836901478,57.0955560639058,-161.479489279633,57.0955560639058,-161.479489279633,"'96"
"71",1996,"Legal Male",56.9289213235294,-163.871936176471,13163.5507471166,56.9561611788744,-161.8830321264,56.9561611788744,-161.8830321264,"'96"
"72",1996,"Mature Female",56.9289213235294,-163.871936176471,24490.3258557368,56.9481204635748,-161.458447003293,56.9481204635748,-161.458447003293,"'96"
"73",1997,"Immature Female",56.9289213235294,-163.871936176471,12599.2824988483,57.262421037303,-161.483457575238,57.262421037303,-161.483457575238,"'97"
"74",1997,"Immature Male",56.9289213235294,-163.871936176471,81246.0110544997,57.1569205198255,-161.660277846138,57.1569205198255,-161.660277846138,"'97"
"75",1997,"Legal Male",56.9289213235294,-163.871936176471,22903.7287510495,56.8060302155517,-162.259624744388,56.8060302155517,-162.259624744388,"'97"
